region_id	region_name	region_name_in_data	region_ent_type	total	electricity-from_national_grid_or_from_rural_hydro_power_project	kerosene_lamp	solar_power_grid_connected	solar_power_standalone	bio_gas	rural_water_supply_project	other
LK-1336	Palindanuwara	Palindanuwara	dsd	14996	14669	276	3	12	0	1	35
LK-1339	Walallawita	Walallavita	dsd	15924	15696	199	5	9	1	1	13
LK-2	Central	(computed)	province	749019	736755	9880	360	495	27	127	1375
LK-21	Kandy	Kandy District	district	397626	392207	4108	243	235	11	40	782
LK-2103	Tumpane	Thumpane	dsd	10897	10738	131	1	4	0	0	23
LK-2106	Poojapitiya	Pujapitiya	dsd	15815	15609	180	3	1	0	0	22
LK-2109	Akurana	Akurana	dsd	16371	16152	171	9	3	1	1	34
LK-2112	Pathadumbara	Pathadumbara	dsd	25750	25437	235	10	4	0	3	61
LK-2115	Panvila	Panvila	dsd	7442	7238	178	0	4	0	2	20
LK-2118	Ududumbara	Udadumbara	dsd	6902	6771	91	4	22	0	1	13
LK-2121	Minipe	Minipe	dsd	16159	15766	283	28	52	0	0	30
LK-2124	Medadumbara	Medadumbara	dsd	18449	18160	238	3	11	0	0	37
LK-2127	Kundasale	Kundasale	dsd	40127	39562	385	38	18	1	7	116
LK-2130	Gangawata Korale	Kandy Four Gravets Gangawata Korale	dsd	40324	39982	171	58	30	1	3	79
LK-2133	Harispattuwa	Harispattuwa	dsd	26172	25838	240	21	10	0	5	58
LK-2134	Hatharaliyadda	Hatharaliyadda	dsd	8717	8572	130	1	7	0	0	7
LK-2136	Yatinuwara	Yatinuwara	dsd	31087	30765	221	23	14	1	5	58
LK-2139	Udunuwara	Udunuwara	dsd	31878	31588	224	8	9	2	3	44
LK-2142	Doluwa	Doluwa	dsd	14659	14396	212	6	9	0	1	35
LK-2145	Pathahewaheta	Pathahewaheta	dsd	16971	16698	202	6	8	0	1	56
LK-2148	Deltota	Delthota	dsd	8968	8807	130	5	7	1	0	18
LK-2151	Udapalatha	Udapalatha	dsd	27629	27198	362	12	11	2	6	38
LK-2154	Ganga Ihala Korale	Ganga Ihala Korale	dsd	15675	15470	176	4	3	2	1	19
LK-2157	Pasbagekorale	Pasbage Korale	dsd	17634	17460	148	3	8	0	1	14
LK-22	Matale	Matale District	district	151132	148488	2248	61	126	1	15	193
